index,title,topic_idx
27,눈 밑 퀭한 이모 기침 많아진 삼촌…이게 다 비염 때문?,4
28,"與윤리위 '총선 폭망' 발언 이언주에 징계… ""당에 유해한 행위""",4
29,울산 주간 아파트 매매가 7주 연속 상승,4
30,“가덕신공항-부산 잇는 해상교통 설치 필요”,4
31,한덕수 총리 한독·한불 상의 공동만찬 참석,4
32,“전경련 가입해달라” 요청에…쿠팡·우아한형제들 내부검토,4
33,신한카드 결제 ‘먹통’ 왜?… 복구 시점은 언제,4
34,"전국 아파트 매매·전세 오름폭 둔화…""급매물 소진뒤 관망""",4
35,하이트진로 '얀 알렉상드르' 샴페인 6종 출시,4
36,50년 주담대 40∼50대가 57%...최다 판매는 NH농협은행,4
37,한국식 할랄음식 상용화 추진..외교사절 시연회 극찬,4
38,"사망 6000명 나온 리비아 '대홍수 참사'…정부 ""국제사회 지원 협조""",4
39,인천 L산부인과 복강내 출혈 환자에게 장염약 처방…책임회피 논란,4
40,노스페이스 항저우 아시안게임 팀코리아 공식 단복 공개,4
41,[포토] 농협안성팜랜드 '코스목동 축제',4
42,"철도공단 ""원효가도교 개량공사 용산구와 협의 후 공사 착수""",4
43,중국 주요은행 첫 주택 매수자 대상 주택담보대출 금리 인하,4
44,아빠 살리려고… 고2 아들이 위독한 아버지에게 간 내어줘,4
45,KTX 2004년 개통 이후 19년 만에 누적 이용객 10억명 돌파,4
46,경기도 북부특별자치도 설치 ‘주민투표’ 행안부 건의,4
47,"웹3에 뛰어든 SK플래닛…""OK캐쉬백 활용해 지속가능한 혜택 선사할 것""",4
48,의사·환자단체 결사 반대하는데…'실손보험 간소화법' 국회 법사위 문턱 넘을까,4
49,션 맥기르(SEÁN MCGIRR) 알렉산더 맥퀸의 새로운 크리에이티브 디렉터로 발탁,4
50,"與 '총리 해임건의'에 ""망국적 놀부심보…화성인인가""",4
51,Arm 상장 2일차에 하락...시총 여전히 80조원대,4
52,여권 “이종섭 사의 표명 안타깝게 생각…정당한 지휘에 많은 성과”,4
53,하이트진로 참이슬 제이에스티나와 한정판 굿즈 출시,4
54,일본 원전 오염수 방류 때문?… ‘방사능측정기’ 쇼핑 검색어 1위,4
55,'선의 화가' 남춘모 초대전···한국-대만 2·28 공동 사진전,4
56,Gaya Tumuli make Unesco's World Heritage list,4
57,고해상도 QLED TV 이들 덕에 본다... '양자점' 과학자 3인에 노벨화학상,4
58,[여론조사②] 서구갑·광산갑 현역 우위..물갈이론 '불식',4
59,러시아 외무장관 “다음 달 평양 방문”…푸틴 답방 논의 관측,4
60,북러 정상회담 움직임에 尹 “북 군사협력 시도 즉각 중단돼야”,4
61,서울대 2024학년도 수시 경쟁률 8.84대 1… 전년比 상승,4
62,나이키 사뒀더니 재테크 되네? 최대 13배 가격 뛰어,4
63,바이올리니스트 정경화 내달 29일 거암아트홀 독주회,4
64,제프리스 나이키 매수→보류 하향...“中 시장 역풍”,4
65,도심 벗어나 숲에서 힐링…수목원 나들이객 '북적',4
66,대한카바디협회 항저우 아시안게임 카바디 선수단 선전 기원,4
67,'황금알 낳는 거위' 2차적 저작물…작성권 논란,4
68,한국씨티은행 김진숙·반병철·엄경식 전무이사 선임,4
69,[날씨] 충북 내일 ‘백로’ 늦더위 이어져…출근길 짙은 안개,4
70,[뉴스9 날씨] 내일 차츰 흐려져 오전부터 제주 남부에 비,4
71,尹 “핵심광물 보유국 인니와 첨단산업 주도 韓기업 잠재력 매우 커”,4
72,"행안부 실국장 64% 교체…""연공서열 탈피해 대대적 세대교체""",4
73,‘환절기 불청객’ 알레르기 비염에서 벗어나려면…,4
74,내일 어르신부터 사흘간 추석 기차표 구매…SRT는 다음 달 언제?,4
75,7년 만에 온 커푸어 9일 뒤엔 떠날 호크니…눈 뗄 수 없는 예술거리 종로,4
76,"한기평 ""내년 6월까지 PF 손실 최대 2.8조 예상…브릿지론 만기 주의""",4
77,유통가 사업성공 공식 됐다…키덜트 지갑 열게하는 이녀석들의 정체,4
78,"'로보락 S7 맥스 울트라' GS홈쇼핑서 판매…""12% 할인""",4
79,﻿근육 유지에 필요한 단백질… ‘달걀’만큼 많은 식품은?,4
80,연차 3일 쓰면 12일 쉰다...직장인 10월 2일 '임시공휴일' 추진에 설렌다,4
81,'취업계의 신화 문준용 지명수배' 포스터…文 손배 승소 확정,4
82,공정위 제주 LPG 충전사업자 담합 적발…과징금 26억·고발조치,4
83,광릉숲길 걸으며 자연과의 일체감 느껴보세요,4
84,‘금혼령’ 천지혜 작가 “창작자에게 현재가 가장 좋은 환경” [웹소설 전성시대③],4
85,5년 내 60~70% 사망하는 '심부전' 최근 18년 새 3배 증가,4
86,백제문화제 비판 천막 두고 대립하는 공주시와 환경단체,4
87,발걸음 옮기는 이재명 당 대표,4
88,“타오르고 있다”…아이폰15 프로·맥스 과열에 소비자 불만 확산,4
89,미 8월 인플레 3.7%로 상승…근원치는 4.3%로 떨어져(종합),4
90,제주 바다 노을을 배경으로 한 요가…나를 위한 시간,4
91,지프 랭글러 판매 500만대 돌파 기념 ‘카페 데이’,4
92,Parade practice,4
93,5억짜리 ‘괴산 가마솥’ 활용 방안 국민에 물어보니…“답 없네”,4
94,현대차·기아 보조금 확대에 아이오닉5 400만·EV6 320만원 할인,4
95,BYC 영등포 신사옥으로 본사 이전…역사홍보관 공개,4
96,[시사일본어학원의 초단기 일본어 회화] 하나를 들으면 열을 안다,4
97,시중은행 전환 이끄는 김태오 DGB금융 회장 3연임 나설까,4
98,2023년 9월 21일 촉촉이 젖는 가을 길목[오늘의 날씨],4
99,尹 올해 BIE 회원국 절반 만나며 부산엑스포 유치 총력전,4
100,내일도 30도 안팎 무더위…곳곳 소나기,4
101,"한국치매협회 ""노인성 치매도 지적 장애로 인정해야"" 헌법소원",4
102,일교차 큰 완연한 가을 날씨…추석 전 중부지방 비 소식,4
103,경기중앙교육도서관 “전자책·오디오북 무제한 이용하세요” [꿈꾸는 경기교육],4
104,한국도자재단 안산시 탄도항서 해양쓰레기 수거,4
105,김건희 여사 청주 공예비엔날레 전시 관람,4
106,푸틴 숨통 조이는 G7…러시아산 다이아 수입 금지 초읽기,4
107,통일은 하나님 손 안에… “지우개로 휴전선 지워지는 환상 봤다”,4
108,카페 아다지오 아메리카노 990원에 드세요,4
109,"말라리아·뎅기열 환자 급증…""모기 조심하세요""",4
110,백양사의 국보급 성보 한자리에…지장보살좌상 첫 공개,4
111,'서울서 1시간' 울릉공항 설계 변경…2025년 준공 가능할까,4
112,제2 야놀자 키우자… K관광의 미래 한자리에,4
113,플라스틱 화학물질 산후우울증 위험 높인다,4
114,탈리다쿰 뷰티·문화 복합문화공간 ‘티케이엔’ 오픈,4
115,"대통령실 ""고 채수근 상병 수사 결과 본 적 없어…조사 관여 않을 것""",4
116,[포토] ‘화합’을 상징하는 아름다운 하모니,4
117,안양시 온라인 ‘어쩌다 부모 육아 고민 상담소’ 개최,4
118,[예장합신 총회결산]교단의 정체성 재확인하며 미래 목회 준비,4
119,[신간] 한국연극의 승부사들·조희창의 하루 클래식 365,4
120,황덕형 박사 제20대 서울신대 총장 취임,4
121,美상원 외교위원장 메넨데스 뇌물 수수 혐의로 피소,4
122,양주시 2024년 ‘생활임금’ 시급 1만1040원…월 230만7360원,4
123,"박진 왕이 80분간 통화...""독립운동 사적지 곧 정상화""",4
124,[생방송 심층토론] ‘교권 보호 대책…전북은?’ 잠시 뒤 10시 방송,4
125,추석연휴에 뉴욕서 온 오스틴 리 전시 어때요?,4
126,"원전 오염수 방류 이후 첫 해양방사능 조사…정부 ""이상 없음""",4
127,[신간 종합] `노화의 정복` 외,4
128,“비행기 40시간 타고 천만원 썼는데 허탕”…운빨 시험하는 극한여행지 [여프라이즈],4
129,부산대 ‘에듀 트라이앵글’로 글로컬 대학 노린다,4
130,고기철 전 제주경찰청장 국민의힘 입당,4
131,팔공산국립공원 기본계획 용역 착수보고회,4
132,‘세계서예전북비엔날레’ 개막…“문자의 아름다움·가치 선사”,4
133,뇌종양 투병 윤석화 손숙 연극 깜짝 출연... “암만 빼면 건강해요”,4
134,"위기의 르노코리아…""200만원 내렸다"" 가격 인하 승부수",4
135,유방암은 여성만? ‘이 증상’ 있는 남성도 위험,4
136,[책 한 모금]영화를 본다…이야기가 아니라 '시선'을,4
137,올리브영 'W케어 서비스' 신규 가입 이벤트,4
138,‘이강인 캐리커처 즉석 선물!’ 2023서울맥주판타스틱페스티벌에서 만나요~,4
139,전쟁기념관 '북한 군사도발실' 신설…북 무인기 실물 공개,4
140,순천정원박람회 불꽃쇼에 관람객 10만 명 몰려,4
141,전국 아파트값 7주 연속 상승 행진… 힘 실린 ‘집값 바닥론’,4
142,"한국 포털서 중국 응원 비율이 90%?…논란 일자 다음 ""서비스 그만""",4
143,미국산 소고기로 만든 LA갈비 시식하는 美육류 생산자 단체 ‘하트랜드팀’,4
144,10년 만에 '국군의날' 시가행진…도심 통과로 서울 곳곳 통제 중,4
145,올해 강원 초중고등학교 다문화 학생 수 5073명,4
146,文 홍범도 흉상 철거에 “국군 뿌리 부정하나...깊은 우려”,4
147,횡단보도 건너다 의식 잃고 쓰러진 시민 구한 버스기사,4
148,“최소 50억원 차익”…공효진 빌딩 160억원에 매물로,4
149,'방랑시인 김삿갓' 명국환 별세 향년 96,4
150,'뇌새김' 영어학습 신청하면…친환경 전기자전거도 준다,4
151,자라 '스티븐 마이젤 뉴욕(Steven Meisel New York)' 협업 컬렉션 출시,4
152,“감귤 밭떼기 거래 표준계약서 반드시 작성해야”,4
153,구리시 주요 ‘맨발 걷기 산책로’ 입구에 해충기피제함 설치,4
154,“일본어로 크게 말하지 말라”…日대사관 당부 이유는?,4
155,충북교육청 10월13일까지 청렴 집중 주간 운영,4
156,"기후위기 해결 DAC K스타트업에도 기회 될까…""정부정책 관건""",4
157,"추경호 ""새만금 SOC 예산 삭감 원점 재검토 원칙따른 것""",4
158,[날씨] 연휴 마지막 날 전국 구름 많고 쌀쌀한 아침,4
159,조개의 편에서 철새의 눈으로 새만금을 보다,4
160,48년간 도시근로자·이주민·난민의 지붕,4
161,"이주호 ""담임·보직교사 수당 인상 추진…교원 서술형평가 폐지""",4
162,'과학기술통 정치인' 이상희 전 과기처 장관 별세,4
163,폐가가 북카페 공방으로…창원시 '빈집 활용사업' 준공,4
164,기후 변화에 도시화 급속…‘동해안 위기’ 고조,4
165,박진-中왕이 80분 통화…“한중일 회담 재가동할 것”,4
166,푸틴 우크라에 쏠 북한제 포탄 얻었나…국제사회 긴장,4
167,尹 “혁신에 국경 없어…도전과 혁신적 아이디어 뒷받침할 것”,4
168,주방그릇 장사로 얻은 지식 재밌게 풀어내,4
169,울산 석유화학단지 통합파이프랙 구축 ‘본격화’,4
170,"기재부 ""고금리 장기화 우려...시장 모니터링 강화""",4
171,특허청 산하기관 6곳 중 2곳 지난해 경영평가서 '하락'(종합2보),4
172,“엄벌제도보다 필요한 건 범죄자 100% 처벌받는다는 법의 확실성”[논설위원의 단도직입],4
173,장애아동 지원 예산 ‘0원’…발달장애 조기 검진 ‘구멍’,4
174,라오스 총리 만난 윤석열 대통령,4
175,더불어민주당 전북 현안·내부 갈등 해소 관심,4
176,추석에 받은 용돈…이색 예·적금은 어때?,4
177,전계욱 지엔씨이십일 대표 “지역 매력 알리려 지구 37바퀴 발품”[인터뷰],4
178,"[사이테크+] 우주 나가면 면역력 약화?…""무중력이 면역 T세포 변화 초래""",4
179,"美 8월 근원PCE 전년比 3.9% ↑…""2년 만에 가장 낮아""",4
180,국립산음자연휴양림 '반려견과 함께하는 숲속 멍스토랑' 운영,4
181,한국올림픽선교회 항저우 아시안게임 기독선수 응원…24일 종교관 주일예배,4
182,부산항에서 발견된 불개미는 살인개미?,4
183,"관광 활성화 vs ""교육환경 위협"" 세종시 숙박시설 허용 논란",4
184,국민의힘 “韓 포털서 축구 中응원 92%까지…여론조작 의혹 수사해야”,4
185,구청장과 부구청장 관계... 서초구청장에게 물어봐?,4
186,한국문화외교 자선단체 뷰티플마인드 27일 남아공 공연,4
187,'쌍방울 대북송금' 이재명 11시간 만에 귀가…검찰 12일 재소환 통보(종합),4
188,차기 해병 상륙장갑차 시운전 중 침수…업체 직원 2명 사망,4
189,멀버리 스테판 쿡과 함께한 캡슐 컬렉션 출시,4
190,스마트폰 보는데 갑자기 숨이 막힌다? 이유는…,4
191,"'다음 中응원 클릭 조작' 의혹에…정부 ""범부처 TF 구성"" 강력 대응",4
192,전세보증금 80억도 OK… '셋집살이' 하는 슈퍼리치,4
193,한은 “獨경제 부진… 닮은 꼴 韓에 큰 시사점”,4
194,LG생건 색조화장품 인수 日 뷰티시장 공략 속도전,4
195,본업서 역대급 실적 ‘삼바·셀트리온’ 신사업 드라이브,4
196,“강원도 필로티 건축물 내진율 58.7%…전국 최저”,4
197,‘기형적 형태’ 용인 법무연수원사거리 회전교차로 바뀐다,4
198,Arm 주당 가격 $49~$51 범위 결정,4
199,연준 금리 결정날…국채수익률 내리고 주가 상승,4
200,스카이워크 조성 사업 찬반 논란 가열,4
201,첫 투자유치에 160억원...돈맥경화에도 '여기'엔 뭉칫돈 몰렸다,4
202,베베쿡 콤푸드 `프리미엄 와일드 루꼴라 샐러드` 출시 기념 이벤트 펼쳐,4
203,외환당국 2분기 '환율 방어'에 60억달러 팔았다,4
204,[시사일본어학원의 초단기 일본어 회화] 훨씬,4
205,[200자 읽기] 4050세대 노후 자금 지침서,4
206,1등 모범생이 왕따 된 사연…요즘 이 종목 담았다고 하면 ‘절레절레’,4
207,예래단지 토지 분쟁 합의 주목,4
208,[날씨] 내일 중부 한때 비…그치고 주 후반 쌀쌀해져,4
209,신형 새마을급 열차명 'ITX-마음'…10월까지 운임 20% 할인,4
210,연휴 뒤 4분기 전기료 발표…'올리긴 해야 하는데…',4
211,[인 더 바이블] 일곱(seven),4
212,남양유업 '불가리스 소화가 잘 되는 우유로 만든 요거트 그릭' 선봬,4
213,한중일 25일쯤 서울서 외교 고위급 회의 조율 중 -日매체,4
214,김영환 충북지사-박진희 도의원 오송 참사 책임 놓고 설전,4
215,강릉시 청년 대상 통합공공임대주택 건립 추진,4
216,전 해군 참모총장 일부 홍범도함 이름 변경 반대…“무형 전력”,4
217,어깨 부딪혔다고 멱살 잡고 폭행…작년 '철도범죄' 3000건 넘었다,4
218,한국인 “ ‘열일’해도 잘사는 것 아니더라”…역시 ‘미생’의 나라,4
219,"[아시안게임] 북한 女농구감독 ""국제경기 첫 참가 선수들 실수 많았다""",4
220,석유공사 베트남 15-1광구 원유 생산 4억 배럴 달성,4
221,창립 8주년 클래스101 '장학생' 뽑는다…1인당 100만원 지급,4
222,제나벨 수분·진정 그린라인 '스쿠알란 53 딥 모이스처 세럼' 출시,4
223,[책과 세상] 국난을 기록한 육십 평생,4
224,DDP에 그려진 자연,4
225,외국인에게 4배 바가지 씌운 대만 야시장 상인…최대 벌금이,4
226,잔병치레 없는 삶 원한다면? ‘면역력’ 높이는 음식 4,4
227,집값 37% 올랐는데 세금은 1000% 폭등...‘이젠 폭탄 끝?’[부동산 아토즈],4
228,갱년기 아닌데 갑자기 얼굴 ’화끈‘… 건강 위험신호일 수도,4
229,"한·일 기독교인 日에서 간토대지진 학살 100년 추모 예배…""국가책임 인정하고 혐오 멈춰라""",4
230,‘노란버스’ 논란에...교육부 규칙 개정으로 전세버스 합법화한다,4
231,KTX 10억 번째 주인공,4
232,Fed '매파 본색'에 화들짝…흔들리는 새내기株,4
233,하반기도 뜨거운 ‘테마주 열풍’… 거래대금 2년 만에 최고치,4
234,[1%의 시장 전통주 붐은 온다] 누룩 종류마다 고유한 특성 담겨…각양각색 술이 익는다,4
235,"與 ""이재명 영수회담 제안은 방탄전략…여야 대표회담해야""(종합)",4
236,LG유플러스 ‘유쓰페’ 개최 “개강 전 스트레스 날려요”,4
237,문체부·관광공사 선정 융복합 국제회의 4개 연속 개최,4
238,2023 MBC 강변가요제 뉴챌린지… 23일 평창서 개최,4
239,"한총리 새만금 개발사업에 ""지역경제 실질 활력 되는 빅픽처 짜라""",4
240,미술 컬렉션은 처음인 당신을 위해! 마켓에이피 판화 마켓,4
241,2년 기다려 차 받았는데… 테슬라 추가 가격 인하에 '분통',4
242,[화순소식] 공무원 헌혈증 200매 기증,4
243,'37억원 대박' 1082회 로또 1등 7명…부산 사하구·경남 양산 1명씩 당첨,4
244,미 10년물 국채 수익률 또 상승..뉴욕증시 혼조세 출발,4
245,중진공 2023 대한민국 소싱위크서 1702만 달러 신규 계약 체결,4
246,미 장기채 얻어맞는 서학개미…월가 채권왕 “여기로 피난가라”,4
247,[내일날씨] 일교차 커지고 아침 쌀쌀… '감기 조심하세요',4
248,즐거운 줄타기 공연,4
249,주말 11만여 명 제주 입도...작년 대비 외국인 5배,4
250,아빠와 함께,4
251,혈당 집에서 잴 때와 병원에서 잴 때 차이 큰가요?,4
252,푸틴 伊은행 인테사 러시아 내 자산매각 허용,4
253,지주사 죽 쑤는데… 두산 ‘나홀로 강세’,4
254,'우영우' 고래가 눈앞에 … 폼나는 한강 신나는 한강,4
255,건축왕 소유 동해 망상지구 부지 매각…10년 숙원 해결되나,4
256,7월 은행권 대출 예금 금리 모두 하락,4
257,김기현 “쌍방울과 인연은 내의 사입었을 뿐이라던 이재명…새빨간 거짓말인가”,4
258,"전세 사기로 '감옥'처럼 변한 집… ""탈출기 3년으로 책 냈죠"" [책마을 사람들]",4
259,글로벌 IB딜 주도적 역할... 유럽 넘어 중동·아프리카까지 경쟁력 갖춘 MLA로 자리매김,4
260,"조희연 ""학생인권조례 폐지는 명백한 퇴행"" 호소",4
261,고유가에 대중국 수출도 캄캄…제조업 체감 경기 더 나빠졌다,4
262,‘노래로 전하는 이야기’…제33회 탐라합창제 열려,4
263,대구시새마을회 김기호 이사 남편 연금 모아 영남대에 전달,4
264,UNIST 벤처기업·투자자 만나는 '유니콘 슈팅 데이' 개최,4
265,尹정부 핵심 국정 과제 `실손청구 간소화` 의료계 반발에 동력잃나,4
266,[포토]KG모빌리티 화려한 튜닝,4
267,남구 몽골 항올구와 우호교류…‘남구민의 숲’ 조성,4
268,한 번 망가지면 회복 어려운 '폐' 기능 유지하려면… '3가지' 확인해야,4
269,푸바오 인기 이 정도~ 포토 에세이 베스트셀러 직행,4
270,美 기준금리 연 7% 갈 수도…다이먼 회장의 경고,4
271,은행이 팝업에 콘서트도 열고...하나은행 '고객 모시기' 열전,4
272,"한미일 안보실장 ""북러 무기거래·군사협력 땐 대가 치를 것"" 경고",4
273,자생의료재단 오성규 지사 지원,4
274,김돈곤 청양군수 플라스틱 줄이기 챌린지 동참,4
275,[단독] 사외이사가 해외파견·교육자 선발? 인국공 '전례 없는 일' 논란,4
276,어떻게 살 것인가 혹은 어떻게 죽을 것인가,4
277,[포토] 농협홍삼 한삼인 신제품 3종 출시,4
278,코나아이 얇고 편리한 2세대 스마트카드키 출시,4
279,학문과 창작으로 하나님 나라 확장해온 조신권 교수 별세,4
280,부산의 가을 욜로 갈맷길 걷는다,4
281,광주서 일본 오염수 해양 방류 반대 도심행진,4
282,[포토] 수시 논술고사 마친 수험생들,4
283,김세정·갓세븐 영재한-태 상호방문의해 홍보대사로,4
284,[큐레이터 W] 내년 예산 657조 원 외,4
285,K뷰티 핵심기술 지켰다…자외선 차단 기술 해외 빼돌린 직원 ‘결국’,4
286, 쌀쌀한 아침·저녁 내일 일교차 커요,4
287,용인특례시의회 의원연구단체 '초연결도시 용인' 연구 용역 중간보고회 개최,4
288,"'철도파업' 예고에 국토부 비상본부 가동…""계획 철회하고 현장 지켜주길""",4
289,뉴욕 도착한 尹대통령 4박6일 일정 시작…연쇄 양자회담 돌입,4
290,청주공고 기술교육 체험…직업능력 실습 호응,4
291,“남편 분실물 센터 운영하기도”…‘지출 1위’ 中여행객 잡기 위해 사활,4
292,“R&D 카르텔적 요소 있어…좀비기업 지원 더 이상 안돼”,4
293,집값 회복세에도 중개사 감소…11만7천 곳 밑돌아,4
294,[날씨와 생활] 늦여름 불청객 모기…이렇게 피하세요!,4
295,더 오르기 전에 청약 '불장' 이어진다…집값 자극하나,4
296,비건 앞세워 잘나가는 화장품…다 같은 비건이 아니라는데 [정슬기의 가치 소비],4
297,아세안 10개국 음식 맛보기…부산서 '아세안 요리교실',4
298,외국인 노동자 고용허가제 논의하는 이정식 장관,4
299,우리 회사 신입사원 몇 살까지 괜찮을까? [데이터로 보는 세상],4
300,[경남의 거장을 만나다] 깎되 깎지 않는다…‘불각’ 조각가 김종영,4
301,우리 아이 식습관 괜찮나…“청소년 코로나19 이후 아침 거르고 야식 늘어”,4
302,서울시 수도권 대중교통 ‘무제한 정기권’ 도입 검토,4
303,락앤락 신임 사장에 이영상 前 투썸플레이스 대표,4
304,합병 총력 대한항공 아시아나 화물사업 매각 카드 `만지작`,4
305,참치에 참기름 더했더니 '밥도둑',4
306,크기는 육중한데 주행감은 스포츠카…BMW X6 M60i[시승기],4
307,윤 대통령 “한일관계 더 미래지향적으로 발전”,4
308,술 수십병 갖고 말레이 입국하다 공항서 적발된 용인시의원들…“영사관 선물” 해명,4
309,강원 수출 4개월째 약진…무역 수지 적자는 여전,4
310,‘납작코’ 프렌치 불독이 사랑받는 이유는?,4
311,현대차의 지역 교통난 해결책은 '수요응답형' 교통 서비스,4
312,식약처 “시각장애 성분 함유 배란유도제에 주의사항 포함”,4
313,"김건희 여사 ""터무니 없는 비난에 저도 힘든 경험 있어"" ",4
314,최장 12일 연휴 미국·유럽으로 떠나자…예약 1위 국가와 호텔은?,4
315,민주당 이재명 대표 단식 장기화에 비상의총 소집,4
316,"감사원 ""울산시 지식산업센터 건립 타당한 사유 없이 중단…22억 손실""",4
317,안양시 도 데이터 정책 우수사례 발표대회 우수상…3년 연속 수상,4
318,'물폭탄 그만! 빵을 계속 굽고 싶다',4
319,일본 10년물 국채 금리 0.755%로 '10년 만에 최고'…엔저 지속,4
320,"민주 오염수 반대 밤샘 의총…""싸움 외엔 길 없어""(종합)",4
321,강원 올 1~7월 누계 땅값 상승률 크게 둔화,4
322,[올댓차이나] 8월 中 승용차 판매 194만대 3개월 만에 증가,4
323,LG전자 메타와 MR 개발 맞손…30조 시장 노린다,4
324,"청년들 만난 조계종 총무원장 ""하루에 5분씩이라도 ‘멍때리기’""",4
325,[내일 날씨] 후텁지근한 늦더위 기승…서울 낮 최고 31도,4
326,깨끗한 혀가 건강한 몸을 만든다[지정현의 치아 건강이 100세 건강],4
327,경기도의회 국힘 경기교사노조와 교권·학습권 보호 대책 논의,4
328,류진·록 황 같은 옷 다른 느낌,4
329,잡스와 디자인,4
330,외국인근로자 고용사업장 방문한 이정식 고용노동부 장관,4
331,한국교통대 구성원 충북대와 통합 전제 글로컬대학 추진 '찬성',4
332,[날씨] 저무는 여름 여무는 가을…중부 많은 비,4
333,"임태희 ""경기도교육정책자문위 올바른 궤도로 나아가는 나침반 역할 하길""",4
334,40세 이전 발기부전 ‘이 병’ 신호일 수 있습니다,4
335,세수 부족...추경 없이 '외평기금·세계잉여금' 활용,4
336,[날씨] 구름 많고 곳곳 한때 비…'낮 최고 27도' 일교차 커,4
337,낙동강 물금·매리 지점 조류경보 27일 만에 해제,4
338,"덥고 습했던 올여름...""원전으로 안정적 전력 공급""",4
339,국내 첫 풀사이즈 픽업트럭 GMC 시에라,4
340,143년 주민 섬긴 美 장로교회 폭풍으로 지붕 붕괴,4
341,빙하가 죽고 북극곰도 죽으면 다음은…? [여여한 독서],4
342,대구행복진흥원 '2023 통계로 보는 대구여성의 삶' 발간,4
343,아이엠티 청약 경쟁률 495대 1…증거금 1조3천억 몰렸다,4
344,'굿바이 썸머' 속초해수욕장 폐장…올여름 73만명 방문,4
345,추석에만 마시는 이 술은?,4
346,네이버 투자받은 두 스타트업 'AR 커머스' 기술 고도화 맞손,4
347,13개 단지중 11곳이 분양가 10억이상… 초고가에도 완판 [부동산 아토즈],4
348,아워홈 컨세션 제철 식재료 활용 신메뉴 4종 선봬,4
349,태재대 첫 입학식…기성 대학교육 벽 넘을까,4
350,美 8월 고용 완만히 둔화…굳어지는 9월 금리동결론,4
351,[날씨] 내일 연휴 닷새째 아침 쌀쌀…큰 일교차 유의,4
352,에비니어 아트테인먼트 예술과 문화 융합한 ‘히어로 유니버스’ 선보여,4
353,[새로 나온 책] 비대칭 탈냉전 1990-2020 외,4
354,"尹 토드 영 상원의원 만나 ""한미일 협력 美 의회 지지 기대""",4
355,한국서 호주 퍼스 가기 쉬워지고 가성비 높아졌다,4
356,"ONN ""북 잠수함서 핵탑재 SLBM 대량으로 쏘게 될 수도""",4
357,"열차편 또 취소냐 ""입석도 못구할라""…철도파업 나흘째 시민 분통",4
358,국정원 '방산침해대응협의회' 11일 출범…방산업계 공조 강화,4
359,북 러시아와 정상회담 공식화... 김정은 이미 러시아 도착한 듯,4
360,하다 하다 이런 귀신의 집이?…10년 묵은 폐여관 활용한 공포 체험,4
361,부산시 ‘스쿨존 차량용 펜스’ 설치 지침 전국 첫 마련,4
362,尹대통령 “트뤼도 총리와 만남 늘 좋아…韓·加 우정 돈독”,4
363,또다시 동료 2명 잃어…전국서 교사 20만명 국회 앞 모여 교육부 비판,4
364,100억 초고가 아파트 ‘집들이’ 는다…그들만의 세상 누가 사나,4
365,치과치료 받았는데 수백만원 벌금?...‘더 많은 보험금’ 혹했다가 날벼락,4
366,KB금융 회장 최종 후보에 김병호·양종희·허인,4
367,스승과 제자의 하모니 김대진-박재홍 듀오 콘서트,4
368,추석 연휴 막바지 대전충남 고속도 대부분 원활…대전→서울 1시간30분,4
369,"신간 낸 김종인 ""정치적 극단주의 횡행…독일 정치에서 배우자""",4
370,"윤 대통령 ""매표용 예산·재정만능주의 배격…약자 더 지원""",4
